{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
 -0.3   -0.2   5   0   200           1.0256         -0.0019709         0.00013178
 -0.2   -0.1   5   0   200           1.0289         -0.0022246         0.00013498
 -0.1      0   5   0   200           1.0282          -0.002276         0.00013713
    0    0.1   5   0   200           1.0254         -0.0021375         0.00013038
  0.1    0.2   5   0   200             1.02         -0.0019313         0.00012893
  0.2    0.3   5   0   200           1.0115         -0.0015507         0.00012137
  0.3    0.4   5   0   200          0.99946        -0.00093237         0.00011296
  0.4    0.5   5   0   200          0.98757        -0.00032996          0.0001051
  0.5    0.6   5   0   200            0.978         0.00012148         0.00010732
  0.6    0.7   5   0   200          0.97223         0.00045187         0.00010636
  0.7    0.8   5   0   200          0.96791         0.00057019         0.00011655
  0.8    0.9   5   0   200          0.96418         0.00079464         0.00011677
  0.9      1   5   0   200          0.96561         0.00087373          0.0001172
    1    1.1   5   0   200          0.96912          0.0007792         0.00012313
  1.1    1.2   5   0   200          0.97432         0.00047825         0.00013219
  1.2    1.3   5   0   200          0.97952         0.00025378         0.00013716
  1.3    1.4   5   0   200          0.98553          2.545e-06         0.00013776
  1.4    1.5   5   0   200          0.99288        -0.00039597         0.00014558
  1.5    1.6   5   0   200          0.99835        -0.00063025         0.00014782
  1.6    1.7   5   0   200           1.0011        -0.00075943         0.00015134
  1.7    1.8   5   0   200           1.0003        -0.00071875         0.00015005
  1.8    1.9   5   0   200          0.99423        -0.00071382         0.00015824
  1.9      2   5   0   200          0.98553        -0.00024075         0.00015147
    2    2.1   5   0   200          0.97315          0.0004598          0.0001338
  2.1    2.2   5   0   200          0.96266          0.0012158         0.00011445
  2.2    2.3   5   0   200          0.94855          0.0016265         9.0202e-05
  2.3    2.4   5   0   200          0.92979          0.0023095         1.2292e-05
  2.4    2.5   5   0   200          0.92695          0.0056782        -9.9175e-05
  2.5    2.6   5   0   200          0.94011          0.0064674         -0.0001347
  2.6    2.7   5   0   200          0.96235          0.0064823        -0.00014581
  2.7    2.8   5   0   200           0.9798          0.0061763        -0.00015081
  2.8    2.9   5   0   200           1.0062          0.0054571        -0.00014089
  2.9      3   5   0   200           1.0322          0.0046425        -0.00013166
    3    3.1   5   0   200           1.0659          0.0036002        -0.00011473
  3.1    3.2   5   0   200           1.0926          0.0027202        -9.7028e-05
  3.2    3.3   5   0   200           1.1274          0.0018656        -6.9508e-05
  3.3    3.4   5   0   200           1.1432          0.0011283        -4.4318e-05
  3.4    3.5   5   0   200           1.1485         -0.0011783        -8.5509e-06
  3.5    3.6   5   0   200           1.1372         -0.0012904        -1.4754e-05
  3.6    3.7   5   0   200           1.1273         -0.0014244        -2.5929e-05
  3.7    3.8   5   0   200           1.1213         -0.0016913        -2.8385e-05
  3.8    3.9   5   0   200           1.1015         -0.0018701        -3.4003e-05
  3.9      4   5   0   200           1.0781         -0.0021151        -3.8858e-05
    4    4.1   5   0   200            1.064          -0.002203        -3.9737e-05
  4.1    4.2   5   0   200            1.047         -0.0025646        -3.9288e-05
  4.2    4.3   5   0   200            1.034         -0.0024239        -4.0044e-05
  4.3    4.4   5   0   200           1.0252          -0.002515        -4.9282e-05
  4.4    4.5   5   0   200             1.02         -0.0028967        -5.0193e-05
  4.5    4.6   5   0   200           1.0026         -0.0030613        -5.5766e-05
  4.6    4.7   5   0   200           1.0049         -0.0062855        -7.3295e-05
  4.7    4.8   5   0   200           1.0107         -0.0077261        -8.3497e-05
  4.8    4.9   5   0   200           1.0179         -0.0095927        -0.00010215
  4.9      5   5   0   200           1.0346          -0.011457        -0.00010566
