{1 JetEta 3 Rho JetPt JetA max(0.0001,1-(z/y)*[4]*([1]*(x/[3]-[0])*(1.+[2]*log(y/15.)))) Correction L1FastJet}
  -1.566  -1.479       11      0          70       8        6500       0          10      2.280753286     0.4679968564    -0.2600907202	     1.0286726494    1.0178022654
  -1.479  -1.392       11      0          70       8        6500       0          10      2.273090353     0.4815539563    -0.2537776522	     1.0286726494    1.0238742417
  -1.392  -1.305       11      0          70       8        6500       0          10      2.469343762      0.479738642    -0.2125625565	     1.0286726494    1.0314324846
  -1.305  -1.218       11      0          70       8        6500       0          10      2.510656434     0.4718174551    -0.1814340878	     1.0286726494    1.0410713457
  -1.218  -1.131       11      0          70       8        6500       0          10      2.472723138     0.4682152948    -0.1588313232	     1.0286726494    1.0528211801
  -1.131  -1.044       11      0          70       8        6500       0          10      2.274204178     0.4543984337    -0.1298361521	     1.0286726494    1.0652024907
  -1.044  -0.957       11      0          70       8        6500       0          10      2.305272883     0.4452813611    -0.1137115433	     1.0286726494    1.0773861303
  -0.957  -0.879       11      0          70       8        6500       0          10      2.438213895     0.4434075022    -0.1042214471	     1.0286726494    1.0830957747
  -0.879  -0.783       11      0          70       8        6500       0          10      2.548739288     0.4461977371    -0.1015546516	     1.0286726494    1.0988118019
  -0.783  -0.696       11      0          70       8        6500       0          10      2.652800273     0.4480605874   -0.09078273443	     1.0286726494    1.10941
  -0.696  -0.609       11      0          70       8        6500       0          10      2.533520847     0.4424509266   -0.07986915793	     1.0286726494    1.1171637458
  -0.609  -0.522       11      0          70       8        6500       0          10      2.627050992     0.4445023151   -0.07884222386	     1.0286726494    1.1266855556
  -0.522  -0.435       11      0          70       8        6500       0          10      2.676919317     0.4420320292   -0.06961149767	     1.0286726494    1.1375123998
  -0.435  -0.348       11      0          70       8        6500       0          10      2.812221441     0.4436541128   -0.06458690901	     1.0286726494    1.1481413412
  -0.348  -0.261       11      0          70       8        6500       0          10      2.566786792     0.4380436313   -0.05805577676	     1.0286726494    1.1559423567
  -0.261  -0.174       11      0          70       8        6500       0          10      2.725724773     0.4455105821   -0.06361477414	     1.0286726494    1.1595102192
  -0.174  -0.087       11      0          70       8        6500       0          10      2.767497769     0.4486013487   -0.06595880136	     1.0286726494    1.1589726417
  -0.087       0       11      0          70       8        6500       0          10      2.723101312     0.4475628656     -0.063595716	     1.0286726494    1.1556695901
       0   0.087       11      0          70       8        6500       0          10      2.778540242     0.4505996317   -0.06523595042	     1.0286726494    1.1495572368
   0.087   0.174       11      0          70       8        6500       0          10      2.794579091     0.4516472338   -0.06855536615	     1.0286726494    1.1440666203
   0.174   0.261       11      0          70       8        6500       0          10      2.744232018     0.4514035021   -0.06498470042	     1.0286726494    1.1350253349
   0.261   0.348       11      0          70       8        6500       0          10      2.803389601     0.4538031555    -0.0622962707	     1.0286726494    1.1249538524
   0.348   0.435       11      0          70       8        6500       0          10       2.82829497     0.4511625117   -0.05883260495	     1.0286726494    1.1146653775
   0.435   0.522       11      0          70       8        6500       0          10      2.940609258     0.4613268076   -0.07092583492	     1.0286726494    1.1054358383
   0.522   0.609       11      0          70       8        6500       0          10      2.838221472     0.4582500029   -0.07744114293	     1.0286726494    1.0974779655
   0.609   0.696       11      0          70       8        6500       0          10      2.932183033     0.4637047013   -0.08579816998	     1.0286726494    1.0907767077
