{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
  0.3    0.4   5   0   200           0.9589        -0.00096139         0.00015764
  0.4    0.5   5   0   200          0.95302        -0.00073647         0.00015345
  0.5    0.6   5   0   200          0.94523        -0.00033965         0.00014933
  0.6    0.7   5   0   200          0.93624         7.5598e-05         0.00013976
  0.7    0.8   5   0   200          0.93325         0.00037288         0.00013288
  0.8    0.9   5   0   200          0.93337         0.00054637         0.00013904
  0.9      1   5   0   200          0.93565         0.00039295         0.00012704
    1    1.1   5   0   200          0.93625         0.00038625         0.00012292
  1.1    1.2   5   0   200          0.93853         0.00030399         0.00011386
  1.2    1.3   5   0   200          0.94046         0.00036918         0.00010969
  1.3    1.4   5   0   200          0.94147         0.00046133         0.00010051
  1.4    1.5   5   0   200          0.94024         0.00057183         8.6342e-05
  1.5    1.6   5   0   200          0.93857         0.00076735         7.5827e-05
  1.6    1.7   5   0   200          0.93727          0.0008346         5.3421e-05
  1.7    1.8   5   0   200          0.93226          0.0011075         3.6879e-05
  1.8    1.9   5   0   200          0.92878          0.0012607         2.5122e-05
  1.9      2   5   0   200          0.92443          0.0013525         8.9263e-06
    2    2.1   5   0   200          0.91903           0.001731         1.5063e-06
  2.1    2.2   5   0   200          0.91652          0.0015191        -1.9194e-05
  2.2    2.3   5   0   200          0.91805          0.0015207        -3.1997e-05
  2.3    2.4   5   0   200          0.91979           0.001513         -3.744e-05
  2.4    2.5   5   0   200          0.94744         0.00041068        -3.0758e-05
  2.5    2.6   5   0   200          0.96455        -0.00023516        -2.7009e-05
  2.6    2.7   5   0   200          0.98113         -0.0009059         -2.335e-05
  2.7    2.8   5   0   200           1.0087         -0.0018583        -1.9882e-05
  2.8    2.9   5   0   200           1.0296         -0.0025314        -1.8232e-05
  2.9      3   5   0   200           1.0514         -0.0033165        -1.9487e-05
    3    3.1   5   0   200           1.0657         -0.0037025        -2.1226e-05
  3.1    3.2   5   0   200           1.0806         -0.0039634         -2.903e-05
  3.2    3.3   5   0   200           1.0876         -0.0039775        -3.5983e-05
  3.3    3.4   5   0   200            1.094         -0.0038232        -4.4806e-05
  3.4    3.5   5   0   200           1.0991         -0.0035273        -5.7008e-05
  3.5    3.6   5   0   200           1.1021          -0.002666        -7.3862e-05
  3.6    3.7   5   0   200           1.0824         -0.0021067        -8.0542e-05
  3.7    3.8   5   0   200           1.0614         -0.0017091        -8.0112e-05
  3.8    3.9   5   0   200           1.0347        -0.00099089        -7.7361e-05
  3.9      4   5   0   200           1.0048        -0.00013621        -7.7183e-05
    4    4.1   5   0   200          0.97895         0.00056929        -7.7337e-05
  4.1    4.2   5   0   200          0.95163          0.0015354        -8.2597e-05
  4.2    4.3   5   0   200          0.93603          0.0022518        -8.7484e-05
  4.3    4.4   5   0   200          0.91667          0.0030708        -9.5342e-05
  4.4    4.5   5   0   200           0.8964          0.0036966        -0.00010556
  4.5    4.6   5   0   200          0.88663          0.0039253        -0.00011016
  4.6    4.7   5   0   200          0.86588          0.0046183         -0.0001179
  4.7    4.8   5   0   200          0.85827          0.0047694        -0.00012127
  4.8    4.9   5   0   200          0.83918          0.0052363        -0.00012792
  4.9      5   5   0   200          0.84414          0.0047658        -0.00012878
